Lat	Lon	Year	Sowing	TSUM1	TSUM2	TWSO	LBM	TBM	ESO	TRA
(-)	(-)	(dk)	(day)	(-)	(-)	(kg)	(kg)	(kg)	(mm)	(mm)
35.75	 -102.75	 2000	   98	  750	  850	 10219	 16392	 22354	  339	  582
35.75	 -103.25	 2000	   99	  750	  850	 10522	 17153	 23251	  326	  603
35.75	 -103.75	 2000	  101	  750	  850	 10535	 17156	 23568	  339	  616
35.75	 -102.75	 2001	  101	  750	  850	 9093	 15679	 21299	  402	  535
35.75	 -103.25	 2001	  103	  750	  850	 9544	 16219	 21655	  411	  536
35.75	 -103.75	 2001	  104	  750	  850	 9377	 16278	 21726	  417	  537
